CSA,CBSA,Name,Total,1 Unit,2 Units,3 & 4 Units,5 or more,Number of structures with 5 units or more,Monthly Coverage Percent,month,year,population_est,Match on,fuzzy match name
999,10180,"Abilene, TX",28,28,0,0,0,0,96,1,2014,168342.0,Exact,
184,10420,"Akron, OH",26,26,0,0,0,0,75,1,2014,704908.0,Exact,
999,10500,"Albany, GA",17,15,2,0,0,0,93,1,2014,151949.0,Exact,
104,10580,"Albany Schenectady Troy, NY",63,53,0,0,10,2,65,1,2014,878113.0,Exact,
106,10740,"Albuquerque, NM",321,116,0,7,198,4,100,1,2014,904538.0,Exact,
999,10780,"Alexandria, LA",32,32,0,0,0,0,98,1,2014,154558.0,Exact,
408,10900,"Allentown Bethlehem Easton, PA NJ",82,66,0,0,16,3,100,1,2014,828470.0,Exact,
999,11020,"Altoona, PA",1,1,0,0,0,0,24,1,2014,125274.0,Exact,
108,11100,"Amarillo, TX",312,48,0,24,240,10,96,1,2014,260812.0,Exact,
218,11180,"Ames, IA",5,5,0,0,0,0,95,1,2014,122092.0,Exact,
999,11260,"Anchorage, AK",51,47,4,0,0,0,100,1,2014,397996.0,Exact,
220,11460,"Ann Arbor, MI",25,19,0,0,6,1,84,1,2014,360021.0,Exact,
118,11540,"Appleton, WI",16,16,0,0,0,0,90,1,2014,231627.0,Exact,
120,11700,"Asheville, NC",91,91,0,0,0,0,94,1,2014,439661.0,Exact,
122,12020,"Athens Clarke County, GA",34,30,0,4,0,0,86,1,2014,198361.0,Exact,
428,12100,"Atlantic City Hammonton, NJ",51,36,10,0,5,1,100,1,2014,272578.0,Exact,
194,12220,"Auburn Opelika, AL",63,58,0,0,5,1,100,1,2014,154511.0,Exact,
999,12260,"Augusta Richmond County, GA SC",168,168,0,0,0,0,91,1,2014,583046.0,Exact,
999,12540,"Bakersfield, CA",249,241,0,0,8,1,92,1,2014,869176.0,Exact,
548,12580,"Baltimore Columbia Towson, MD",469,363,0,0,106,12,100,1,2014,2780055.0,Exact,
999,12620,"Bangor, ME",3,3,0,0,0,0,47,1,2014,153201.0,Exact,
148,12700,"Barnstable Town, MA",48,29,4,4,11,2,81,1,2014,214289.0,Exact,
999,12940,"Baton Rouge, LA",219,207,2,0,10,1,92,1,2014,846827.0,Exact,
310,12980,"Battle Creek, MI",0,0,0,0,0,0,82,1,2014,134804.0,Exact,
474,13020,"Bay City, MI",0,0,0,0,0,0,9,1,2014,106046.0,Exact,
999,13140,"Beaumont Port Arthur, TX",20,20,0,0,0,0,71,1,2014,391651.0,Exact,
999,13220,"Beckley, WV",4,4,0,0,0,0,90,1,2014,123342.0,Exact,
999,13380,"Bellingham, WA",18,18,0,0,0,0,53,1,2014,208154.0,Exact,
999,13740,"Billings, MT",38,22,0,16,0,0,95,1,2014,174952.0,Exact,
999,13780,"Binghamton, NY",0,0,0,0,0,0,6,1,2014,247075.0,Exact,
142,13820,"Birmingham Hoover, AL",236,125,0,0,111,6,100,1,2014,1076087.0,Exact,
999,13900,"Bismarck, ND",7,7,0,0,0,0,96,1,2014,122155.0,Exact,
145,14010,"Bloomington, IL",23,12,0,0,11,1,94,1,2014,174105.0,Exact,
144,14020,"Bloomington, IN",47,9,6,0,32,1,100,1,2014,164422.0,Exact,
146,14100,"Bloomsburg Berwick, PA",1,1,0,0,0,0,24,1,2014,85538.0,Exact,
147,14260,"Boise City, ID",284,240,4,0,40,3,100,1,2014,662624.0,Exact,
148,14460,"Boston Cambridge Newton, MA NH",959,333,20,16,590,21,100,1,2014,4746931.0,Exact,
216,14500,"Boulder, CO",35,35,0,0,0,0,58,1,2014,312233.0,Exact,
150,14540,"Bowling Green, KY",29,27,2,0,0,0,100,1,2014,166630.0,Exact,
408,14860,"Bridgeport Stamford Norwalk, CT",385,67,4,0,314,2,94,1,2014,944196.0,Exact,
154,15180,"Brownsville Harlingen, TX",79,69,6,4,0,0,89,1,2014,419005.0,Exact,
999,15260,"Brunswick, GA",33,33,0,0,0,0,81,1,2014,114607.0,Exact,
268,15500,"Burlington, NC",48,48,0,0,0,0,96,1,2014,155384.0,Exact,
999,15540,"Burlington South Burlington, VT",29,21,2,0,6,1,87,1,2014,215676.0,Exact,
548,15680,"California Lexington Park, MD",39,39,0,0,0,0,73,1,2014,109913.0,Exact,
184,15940,"Canton Massillon, OH",19,19,0,0,0,0,83,1,2014,403675.0,Exact,
162,15980,"Cape Coral Fort Myers, FL",373,211,6,12,144,4,100,1,2014,677232.0,Exact,
164,16020,"Cape Girardeau, MO IL",12,12,0,0,0,0,100,1,2014,97405.0,Exact,
999,16060,"Carbondale Marion, IL",0,0,0,0,0,0,0,1,2014,139658.0,Exact,
456,16180,"Carson City, NV",2,2,0,0,0,0,100,1,2014,54082.0,Exact,
999,16220,"Casper, WY",16,16,0,0,0,0,86,1,2014,81377.0,Exact,
168,16300,"Cedar Rapids, IA",21,21,0,0,0,0,95,1,2014,264300.0,Exact,
548,16540,"Chambersburg Waynesboro, PA",20,13,2,0,5,1,100,1,2014,152607.0,Exact,
999,16580,"Champaign Urbana, IL",17,1,0,0,16,2,70,1,2014,224351.0,Exact,
170,16620,"Charleston, WV",1,1,0,0,0,0,16,1,2014,273606.0,Exact,
999,16700,"Charleston North Charleston, SC",995,315,0,0,680,7,100,1,2014,726836.0,Exact,
